dates;log Q simule;P simule
2018-02-16;18,4400515;0,185036411
2018-02-17;18,4400515;0,200942346
2018-02-18;18,4400515;0,187590293
2018-02-19;18,4400515;0,201974452
2018-02-20;18,4400515;0,204105495
2018-02-21;18,4400515;0,188155436
2018-02-22;18,4400515;0,177056931
2018-02-23;18,4400515;0,186347925
2018-02-24;18,4400515;0,180003429
2018-02-25;18,4400515;0,172527141
2018-02-26;18,4400515;0,186845861
2018-02-27;18,4400515;0,191225136
2018-02-28;18,4400515;0,186832597
2018-03-01;18,4400515;0,197430334
2018-03-02;18,4400515;0,19873774
2018-03-03;18,4400515;0,205353139
2018-03-04;18,4400515;0,206337251
2018-03-05;18,4400515;0,20667169
2018-03-06;18,4400515;0,192684118
2018-03-07;18,4400515;0,178006198
2018-03-08;18,4400515;0,167064646
2018-03-09;18,4400515;0,166190919
2018-03-10;18,4400515;0,158704735
2018-03-11;18,4400515;0,171783176
2018-03-12;18,4400515;0,163657275
2018-03-13;18,4400515;0,16639671
2018-03-14;18,4400515;0,147691531
2018-03-15;18,4400515;0,148742427
2018-03-16;18,4400515;0,14821231
2018-03-17;18,4400515;0,140406468
2018-03-18;18,4400515;0,146640225
2018-03-19;18,4400515;0,154138178
2018-03-20;18,4400515;0,160518815
2018-03-21;18,4400515;0,159609866
2018-03-22;18,4400515;0,15620918
2018-03-23;18,4400515;0,159944483
2018-03-24;18,4400515;0,152380515
2018-03-25;18,4400515;0,15096766
2018-03-26;18,4400515;0,145747581
2018-03-27;18,4400515;0,139524101
2018-03-28;18,4400515;0,142129472
2018-03-29;18,4400515;0,126900806
2018-03-30;18,4400515;0,122371725
2018-03-31;18,4400515;0,123810784
2018-04-01;18,4400515;0,121433878
2018-04-02;18,4400515;0,125827275
2018-04-03;18,4400515;0,13257563
2018-04-04;18,4400515;0,121481935
2018-04-05;18,4400515;0,121106548
2018-04-06;18,4400515;0,119220961
2018-04-07;18,4400515;0,123221632
2018-04-08;18,4400515;0,1252785
2018-04-09;18,4400515;0,121051181
2018-04-10;18,4400515;0,121949798
2018-04-11;18,4400515;0,12390072
2018-04-12;18,4400515;0,142353638
2018-04-13;18,4400515;0,141737508
2018-04-14;18,4400515;0,143262891
2018-04-15;18,4400515;0,149300829
2018-04-16;18,4400515;0,144219084
2018-04-17;18,4400515;0,141096036
2018-04-18;18,4400515;0,145951855
2018-04-19;18,4400515;0,147886943
2018-04-20;18,4400515;0,159134334
2018-04-21;18,4400515;0,159687463
2018-04-22;18,4400515;0,156921977
2018-04-23;18,4400515;0,160206775
2018-04-24;18,4400515;0,176013993
2018-04-25;18,4400515;0,165829521
2018-04-26;18,4400515;0,170099828
2018-04-27;18,4400515;0,163477473
2018-04-28;18,4400515;0,169262533
2018-04-29;18,4400515;0,168742237
2018-04-30;18,4400515;0,166298611
2018-05-01;18,4400515;0,162661824
2018-05-02;18,4400515;0,166390765
2018-05-03;18,4400515;0,175450138
2018-05-04;18,4400515;0,175028236
2018-05-05;18,4400515;0,17625935
2018-05-06;18,4400515;0,17292505
2018-05-07;18,4400515;0,168457369
2018-05-08;18,4400515;0,165271715
2018-05-09;18,4400515;0,166802388
2018-05-10;18,4400515;0,161358566
2018-05-11;18,4400515;0,152018019
2018-05-12;18,4400515;0,151551416
2018-05-13;18,4400515;0,155319397
2018-05-14;18,4400515;0,156430737
2018-05-15;18,4400515;0,152711609
2018-05-16;18,4400515;0,149374795
2018-05-17;18,4400515;0,146933201
2018-05-18;18,4400515;0,151003311
2018-05-19;18,4400515;0,147744399
2018-05-20;18,4400515;0,152520664
2018-05-21;18,4400515;0,150578229
2018-05-22;18,4400515;0,142927114
2018-05-23;18,4400515;0,134471241
2018-05-24;18,4400515;0,136026526
2018-05-25;18,4400515;0,133534874
2018-05-26;18,4400515;0,130921921
2018-05-27;18,4400515;0,130904698
2018-05-28;18,4400515;0,127322007
2018-05-29;18,4400515;0,133885099
2018-05-30;18,4400515;0,131571867
2018-05-31;18,4400515;0,133530891
2018-06-01;18,4400515;0,134035542
2018-06-02;18,4400515;0,135969607
2018-06-03;18,4400515;0,137164505
2018-06-04;18,4400515;0,133441304
2018-06-05;18,4400515;0,135612794
2018-06-06;18,4400515;0,13659517
2018-06-07;18,4400515;0,13729878
2018-06-08;18,4400515;0,135323408
2018-06-09;18,4400515;0,133748487
2018-06-10;18,4400515;0,120704697
2018-06-11;18,4400515;0,123126136
2018-06-12;18,4400515;0,117005971
2018-06-13;18,4400515;0,113543933
2018-06-14;18,4400515;0,118903903
2018-06-15;18,4400515;0,114551888
2018-06-16;18,4400515;0,115413292
2018-06-17;18,4400515;0,115122584
2018-06-18;18,4400515;0,119466249
2018-06-19;18,4400515;0,124092073
2018-06-20;18,4400515;0,131835943
2018-06-21;18,4400515;0,122693017
2018-06-22;18,4400515;0,110783157
2018-06-23;18,4400515;0,110678924
2018-06-24;18,4400515;0,109952726
2018-06-25;18,4400515;0,112246155
2018-06-26;18,4400515;0,1091412
2018-06-27;18,4400515;0,110586383
2018-06-28;18,4400515;0,104678114
2018-06-29;18,4400515;0,111118488
2018-06-30;18,4400515;0,114276065
2018-07-01;18,4400515;0,113093628
2018-07-02;18,4400515;0,11831063
2018-07-03;18,4400515;0,117052336
2018-07-04;18,4400515;0,11774723
2018-07-05;18,4400515;0,116637145
2018-07-06;18,4400515;0,117802914
2018-07-07;18,4400515;0,120280732
2018-07-08;18,4400515;0,119297789
2018-07-09;18,4400515;0,119033494
2018-07-10;18,4400515;0,112634184
2018-07-11;18,4400515;0,11403482
2018-07-12;18,4400515;0,111430399
2018-07-13;18,4400515;0,110969508
2018-07-14;18,4400515;0,111288775
2018-07-15;18,4400515;0,113120335
2018-07-16;18,4400515;0,120621936
2018-07-17;18,4400515;0,13076366
2018-07-18;18,4400515;0,132175845
2018-07-19;18,4400515;0,133673842
2018-07-20;18,4400515;0,130970485
2018-07-21;18,4400515;0,13204687
2018-07-22;18,4400515;0,131426974
2018-07-23;18,4400515;0,137965162
2018-07-24;18,4400515;0,15046879
2018-07-25;18,4400515;0,145929594
2018-07-26;18,4400515;0,141615641
2018-07-27;18,4400515;0,145902942
2018-07-28;18,4400515;0,146639977
2018-07-29;18,4400515;0,146112708
2018-07-30;18,4400515;0,14631937
2018-07-31;18,4400515;0,138315084
2018-08-01;18,4400515;0,135765556
2018-08-02;18,4400515;0,134781853
2018-08-03;18,4400515;0,132384087
2018-08-04;18,4400515;0,124710372
2018-08-05;18,4400515;0,124904755
2018-08-06;18,4400515;0,123799424
2018-08-07;18,4400515;0,119759771
2018-08-08;18,4400515;0,112054069
2018-08-09;18,4400515;0,116710539
2018-08-10;18,4400515;0,109464513
2018-08-11;18,4400515;0,110845399
2018-08-12;18,4400515;0,112185945
2018-08-13;18,4400515;0,111556365
2018-08-14;18,4400515;0,111024512
2018-08-15;18,4400515;0,111914675
2018-08-16;18,4400515;0,112833257
2018-08-17;18,4400515;0,117747182
2018-08-18;18,4400515;0,113836768
2018-08-19;18,4400515;0,115580651
2018-08-20;18,4400515;0,112171078
2018-08-21;18,4400515;0,115886056
2018-08-22;18,4400515;0,113603465
2018-08-23;18,4400515;0,116401893
2018-08-24;18,4400515;0,11939616
2018-08-25;18,4400515;0,120343784
2018-08-26;18,4400515;0,119943643
2018-08-27;18,4400515;0,123674706
2018-08-28;18,4400515;0,127891336
2018-08-29;18,4400515;0,125905608
2018-08-30;18,4400515;0,124815417
2018-08-31;18,4400515;0,125443654
2018-09-01;18,4400515;0,128270176
2018-09-02;18,4400515;0,12995973
2018-09-03;18,4400515;0,129617682
2018-09-04;18,4400515;0,131900308
2018-09-05;18,4400515;0,120334315
2018-09-06;18,4400515;0,116645682
2018-09-07;18,4400515;0,114583596
2018-09-08;18,4400515;0,110261301
2018-09-09;18,4400515;0,111132466
2018-09-10;18,4400515;0,112640642
2018-09-11;18,4400515;0,11238777
2018-09-12;18,4400515;0,113007665
2018-09-13;18,4400515;0,115093184
2018-09-14;18,4400515;0,116094833
2018-09-15;18,4400515;0,116068155
2018-09-16;18,4400515;0,11557182
